lat,lng,Place,Country,Language,Year,Translator,Title,Publisher,Address,Comments
"52,5160964572","13,4022459795",Berlin,Germany,German,1905,Gertrud Reichard,"Die Waise von Lowood. Für die junge Mädchenwelt nach der Reclamschen Ausgabe mit Berücksichtigung der neuen Rechtschreibung frei bearbeitet von Gertrud Reichard [adapted from the Reclam edition for young girls, taking account of the new spelling reform]",Jugendhort,,"Copies seen are n.d.. 1905 according to Hohn 1998, Klotz 2016."
"52,511011795","13,3851326876",Berlin,Germany,German,1906,Rudolf Reichhardt,"Jane Eyre, die Waise von Lowood. Nach Currer Bell aus dem Englischen übersetzt und für die Jugend bearbeitet von Rudolf Reichhardt. [Translated from the English of Currer Bell and adapted for young people]",Globus Verlag,"Kaiserhofstraße 1, Berlin W 66 (Street no longer exists)",
"52,511011795","13,3851326876",Berlin,Germany,German,1917,Rudolf Reichhardt,"Jane Eyre, die Waise von Lowood. Mit Illustrationen in Farbendruck nach Originalen von Max Wulff.  [With colour printed illustrations from originals by Max Wulff]",Meidinger's Jugendschriften,"Kaiserhofstraße 1, Berlin W 66 (Street no longer exists)",Date is approximate: estimate by a bookseller. Reprint of Reichhardt's translation first published in 1906. 
"52,5117256012","13,3834496488",Berlin,Germany,German,1927,Rudolf Reichhardt,"Jane Eyre, die Waise von Lowood. Mit Illustrationen in Farbendruck nach Originalen von Max Wulff. [With colour printed illustrations from originals by Max Wulff]",Meidinger's Jugendschriften,"Wilhelmstraße 45, Berlin W 66",Date is approximate (it is that of a dedication in a copy on sale). Reprint of Reichhardt's translation first published in 1906. 
"52,5117256012","13,3834496488",Berlin,Germany,German,1935,Rudolf Reichhardt,"Jane Eyre, die Waise von Lowood. Nach Currer Bell aus dem Englischen übersetzt und für die Jugend bearbeitet von Rudolf Reichhardt.  [Translated from the English of Currer Bell and adapted for young people]",Meidinger's Jugendschriften,"Wilhelmstraße 45, Berlin W 67",Date is approximate (it is that of a dedication in a copy on sale). Reprint of Reichhardt's translation first published in 1906.   
"51,3388090446","12,3622490139",Leipzig,Germany,German,1959,Bernhard Schindler,Jane Eyre,Paul List Verlag,,Second edition of Schindler's translation first published in 1958.
"47,1763018997","8,5144821782",Zurich,Switzerland,German,1963,Paola Meister-Calvino,Jane Eyre: Roman,Manesse Verlag,"Dammstrasse 19, 6300 Zug, Switzerland",Meister-Calvino's translation was first published in 1945.
"51,3388090446","12,3622490139",Leipzig,Germany,German,1978,Bernhard Schindler,Jane Eyre,Paul List Verlag,,Reprint of Schindler's translation first published in 1958.
"50,1170193409","8,6612674904",Frankfurt am Main,Germany,German,1986,Helmut Kossodo,Jane Eyre: Eine Autobiographie,Insel Verlag,"Lindenstraße 29, 60325 Frankfurt am Main, Germany",Kossodo's translation was first published in 1979.
"52,4530252918","13,3847143478",Berlin,Germany,German,1986,Elisabeth von Arx,Jane Eyre,Ullstein Verlag,"Ullsteinstraße 114-142, 12109 Berlin, Germany",
